,experiments
0,3.0800000000000005
1,3.32
2,3.0800000000000005
3,3.2
4,3.2
5,3.0400000000000005
6,3.2
7,3.24
8,3.12
9,3.12
10,3.0
11,3.28
12,3.2
13,3.0800000000000005
14,3.0400000000000005
15,3.2
16,3.24
17,3.28
18,3.24
19,3.0800000000000005
20,3.0
21,3.32
22,3.24
23,3.12
24,3.12
25,3.2
26,3.0400000000000005
27,3.4
28,3.0800000000000005
29,3.24
30,3.16
31,3.0400000000000005
32,3.2
33,3.32
34,3.0800000000000005
35,3.32
36,3.4
37,2.88
38,3.48
39,3.0
40,3.0800000000000005
41,3.12
42,3.32
43,3.12
44,3.16
45,3.5200000000000005
46,3.0800000000000005
47,3.32
48,3.36
49,3.12
